0,0,0,0,0,0,0
803,692,642,997,0,2758,0
805,695,639,990,0,2752,0
803,692,636,992,0,2757,0
802,686,637,993,0,2757,0
796,689,635,992,0,2758,0
795,683,635,990,0,2760,0
794,690,633,988,0,2759,0
797,684,632,985,0,2757,0
801,679,629,978,0,2757,0
790,680,630,976,0,2755,0
787,684,630,972,0,2758,0
791,685,632,982,0,2759,0
786,686,634,981,0,2757,0
794,688,629,981,0,2757,0
792,684,636,985,0,2762,0
790,684,625,980,0,2756,0
813,702,644,1009,0,2766,0
815,703,642,1012,0,2764,0
810,703,647,1009,0,2760,0
806,706,644,1012,0,2760,0
814,703,642,1010,0,2761,0
807,705,643,1011,0,2764,0
805,700,645,1012,0,2761,0
811,704,645,1012,0,2759,0
813,706,645,1012,0,2762,0
835,715,649,1014,0,2761,0
830,714,664,1019,0,2753,0
836,709,651,1014,0,2763,0
827,709,645,1012,0,2770,0
830,705,650,1006,0,2753,0
827,711,642,1005,0,2760,0
825,704,643,1004,0,2761,0
824,707,640,1008,0,2762,0
819,706,639,1003,0,2759,0
813,701,641,1002,0,2763,0
815,707,640,1006,0,2759,0
817,704,645,1015,0,2761,0
817,704,646,1019,0,2754,0
820,703,646,1015,0,2763,0
825,707,645,1012,0,2762,0
818,709,645,1004,0,2764,0
816,707,642,1005,0,2759,0
807,705,637,1002,0,2753,0
809,701,642,996,0,2758,0
807,701,639,998,0,2757,0
1,0,1,6,141,107,0
1,4,2,5,56,36,0
0,0,1,6,41,38,0
0,0,3,0,41,37,0
0,1,0,6,34,38,0
0,0,2,2,37,30,0
0,3,1,5,38,37,0
0,3,0,1,35,33,0
1,2,4,2,39,42,0
1,3,5,6,33,37,0
2,2,0,1,34,37,0
383,420,271,386,0,2738,0
446,545,371,512,0,2740,0
505,658,477,663,0,2740,0
565,770,579,808,0,2733,0
611,852,665,945,0,2742,0
664,895,724,1050,0,2739,0
740,916,10,0,0,0,0
770,912,786,1201,0,2738,0
800,900,788,1224,0,2742,0
811,891,785,1238,0,2740,0
821,874,10,0,0,0,0
834,858,770,1228,0,2740,0
